Cancer,New_Cases_Number,New_Cases_Rank,New_Cases_Percent,New_Cases_Cum_Risk,Deaths_Number,Deaths_Rank,Deaths_Percent,Deaths_Cum_Risk,Prevalence_Number,Prevalence_Prop_Per_100k
Breast,3 545,1.0,14.6,3.1,1 960,1.0,11.6,2.0,7 869,39.6
Stomach,2 077,2.0,8.6,1.3,1 880,2.0,11.1,1.2,3 311,8.1
Lung,1 393,3.0,5.7,0.9,1 318,3.0,7.8,0.82,2 214,5.4
Cervix uteri,1 218,4.0,5.0,1.1,888,5.0,5.2,0.89,2 740,13.8
Leukaemia,1 178,5.0,4.9,0.28,812,8.0,4.8,0.22,2 683,6.6
Colorectum,1 163,6.0,4.8,0.65,739,9.0,4.4,0.41,2 347,5.8
Brain CNS,1 134,7.0,4.7,0.37,1 009,4.0,6.0,0.37,2 970,7.3
"Lip, oral cavity",1 011,8.0,4.2,0.53,717,10.0,4.2,0.39,2 124,5.2
Oesophagus,925,9.0,3.8,0.56,885,6.0,5.2,0.54,1 449,3.6
Liver,900,10.0,3.7,0.54,873,7.0,5.2,0.54,1 347,3.3
NHL,618,11.0,2.5,0.23,452,11.0,2.7,0.19,1 447,3.6
Kidney,571,12.0,2.4,0.26,354,13.0,2.1,0.19,1 257,3.1
Prostate,521,13.0,2.1,0.81,328,15.0,1.9,0.48,862,4.1
Ovary,512,14.0,2.1,0.45,383,12.0,2.3,0.41,1 081,5.4
Corpus uteri,505,15.0,2.1,0.65,179,18.0,1.1,0.26,1 238,6.2
Bladder,459,16.0,1.9,0.28,269,16.0,1.6,0.18,1 017,2.5
Pancreas,369,17.0,1.5,0.22,354,13.0,2.1,0.21,493,1.2
Thyroid,275,18.0,1.1,0.11,75,24.0,0.44,0.05,651,1.6
Hodgkin lymphoma,258,19.0,1.1,0.07,116,19.0,0.69,0.04,654,1.6
Larynx,244,20.0,1.0,0.14,187,17.0,1.1,0.12,554,1.4
Testis,178,21.0,0.73,0.07,58,26.0,0.34,0.03,463,2.2
Gallbladder,148,22.0,0.61,0.1,111,20.0,0.66,0.07,224,0.55
Oropharynx,143,23.0,0.59,0.08,85,23.0,0.5,0.05,287,0.7
Hypopharynx,141,24.0,0.58,0.07,74,25.0,0.44,0.04,167,0.41
Nasopharynx,127,25.0,0.52,0.04,96,22.0,0.57,0.03,315,0.77
Multiple myeloma,123,26.0,0.51,0.07,102,21.0,0.6,0.06,253,0.62
Melanoma,103,27.0,0.42,0.05,57,27.0,0.34,0.03,240,0.59
Salivary glands,62,28.0,0.26,0.03,39,28.0,0.23,0.02,147,0.36
Vulva,38,29.0,0.16,0.04,23,29.0,0.14,0.02,80,0.4
Kaposi sarcoma,26,30.0,0.11,0.01,16,30.0,0.1,0.01,38,0.09
Vagina,20,31.0,0.08,0.02,14,32.0,0.08,0.02,38,0.19
Mesothelioma,16,32.0,0.07,0.01,15,31.0,0.09,0.01,40,0.1
All cancers,24 275,,,11.2,16 923,,,8.7,48 227,
All cancers excl. NMSC,23 750,,,10.9,16 712,,,8.6,47 013,
